1;Alonso@Hopkins;Caleb;!2303;}160716;760832;452 Cobblestone St.;;Global Gillette;Reporter;(970 383/8933;skippy@icloud.com;001-happy-18.png;;1/13/19;7/3/27;B;56 40;613073;WBAKG7C54DJ746310;BMW;1-Series;2009;1794;116;3;front-wheel drive
2;Kaydence@Sellers;Susannah;!5563;}160745;807042;Hyattsville, MD 20782;;Coca-Cola;Elementary School Teacher;(867 708/4447;isotopian@sbcglobal.net;002-cool-5.png;;8/2/18;9/21/23;B;74 65;904246;JN1CV6APXCM884333;BMW;1-Series;2018;1523;118;3;front-wheel drive
3;Finnegan@Bray;Brighton;!3719;}717453;83282;9648 Philmont Lane;;Harley-Davidson Motor Company;Childcare worker;(221 428/7850;isaacson@att.net;003-happy-17.png;;12/31/18;1/25/25;B, A;67 50;769897;2C4RDGCG2FR292116;BMW;2-Series;1994;1750;120;2;front-wheel drive
4;Gideon@Arias;Varian;!5810;}721066;768289;Hanover Park, IL 60133;;Corona;Loan Officer;(786 274/7872;mugwump@mac.com;004-surprised-9.png;;2/26/19;10/30/21;B;44 67;967541;2HNYD2H46CH088623;BMW;1-Series;1991;1799;127;2;front-wheel drive
5;Case@Schultz;Aiden;!2208;}937197;780691;8438 North Fairground Court;;Johnnie Walker;Drafter;(365 752/6445;mcmillan@optonline.net;005-shocked-4.png;;3/12/19;6/3/25;B;93 60;117922;KNAFU5A29D5373281;BMW;New Class 1602, 1802, 2002;2016;1791;128;1;front-wheel drive
6;Pierre@Alvarado;Harriet;!7184;}275223;845839;Woodstock, GA 30188;;SAP;Cost Estimator;(446 639/6043;dinther@hotmail.com;006-shocked-3.png;;5/29/18;7/15/21;B;96 40;750187;1FTMF1E84AK129978;BMW;3-Series;2006;1637;129;1;front-wheel drive
7;Esteban@Bell;Cameron;!9563;}574791;94009;148 Catherine Dr.;;Smirnoff;Clinical Laboratory Technician;(555 444/8316;pizza@yahoo.com;007-nervous-2.png;;9/20/18;7/10/19;B, A;11 48;615982;WBAKE5C5XCJ498380;BMW;3-Series, M3;2016;1483;133;1;full drive
8;Spencer@Anderson;Meaghan;!9008;}379623;674783;Lithonia, GA 30038;;Toyota Motor Corporation;Electrician;(392 682/4442;murty@outlook.com;008-nervous-1.png;;6/21/18;11/18/22;B;61 61;864298;JTHFF2C27F2931205;BMW;3-Series, M3;2008;1574;145;3;front-wheel drive
9;Seth@Sweeney;Jax;!3810;}530169;845247;708 6th Drive;;Caterpillar Inc.;Referee;(836 429/0386;aegreene@me.com;009-angry-6.png;;5/14/19;11/18/20;B;95 66;936083;WBABW33455P972485;BMW;3-Series, M3;1996;1753;170;2;front-wheel drive
10;Lincoln@Mason;Emeline;!5387;}689700;252988;Egg Harbor Township, NJ 08234;;Avon;Judge;(283 945/3092;jnolan@aol.com;010-drool.png;;2/28/19;10/15/19;B;17 54;167771;5FNRL5H2XCB183642;BMW;3-Series, M3;2009;1409;180;1;front-wheel drive
11;Lindsay@Curtis;Syllable;!1152;}481271;777867;8992 Union Rd.;;Budweiser Stag Brewing Company;Security Guard;(621 359/3669;msherr@optonline.net;011-tired-2.png;;6/23/18;6/14/22;B;89 65;820437;JTEBU4BF9DK234908;BMW;3-Series, M3;2018;1729;201;3;front-wheel drive
12;Noah@Daugherty;Thomas;!2924;}764363;504859;Villa Park, IL 60181;;IBM;Budget analyst;(440 561/0314;ranasta@icloud.com;012-tongue-7.png;;2/1/19;5/6/27;B;13 45;505754;1G6DM577280903075;BMW;4-Series, M4;2010;1711;202;2;front-wheel drive
13;Darien@Sellers;Nadeen;!5110;}869140;779085;12 Windsor St.;;Chase;Painter;(331 918/2434;punkis@hotmail.com;013-tongue-6.png;;4/11/19;1/8/20;B;68 45;157412;1GYFC43539R480716;BMW;3-Series, M3;2001;1748;203;3;front-wheel drive
14;Jaylene_Schneider;Xavier;!6948;}84332;144573;Waynesboro, PA 17268;;NTT Data;Occupational Therapist;(944 627/0176;pereinar@yahoo.com;014-tongue-5.png;;10/20/18;8/28/21;B;37 63;724944;1N6AA0CJ3FN926889;BMW;4-Series, M4;1995;1761;204;3;front-wheel drive
15;Leonard_Schmitt;Vincent;!7045;}366325;864380;549 Lake View Dr.;;Intel Corporation;Physical Therapist;(621 405/7195;tskirvin@mac.com;015-smile-1.png;;11/4/18;8/18/20;B;57 53;428231;2T1BURHE6EC080516;BMW;3-Series GT;2009;1574;210;3;full drive
16;Maya_Richardson;Heath;!7100;}947091;265294;Garland, TX 75043;;Sony;Photographer;(837 639/1067;kewley@sbcglobal.net;016-sleeping-1.png;;8/23/18;1/30/24;B;21 59;855910;WBA3T7C57FP608583;BMW;New Class 1500, 1600, 1800, 2000;2002;1495;215;1;front-wheel drive
17;Thalia_Delacruz;Caprice;!9169;}340517;137788;314 N. Gulf Lane;;Tesco Corporation;Cashier;(769 610/7084;ehood@icloud.com;017-nervous.png;;2/8/19;8/16/24;B;57 71;562291;5FNYF3H48FB049614;BMW;5-Series;2004;1569;217;2;front-wheel drive
18;Maci_Baird;Dustin;!3097;}188032;340075;Hollywood, FL 33020;;Microsoft;Educator;(308 686/7622;ilial@aol.com;018-surprised-8.png;;12/31/18;10/3/23;B, A;95 50;828023;WVWGD7AJ7EW053317;BMW;5-Series, M5;2008;1705;223;3;front-wheel drive
19;Ace_Stephenson;Amity;!7796;}170860;531408;3 Cooper Street;;McDonald's;Professional athlete;(319 872/3287;elmer@comcast.net;019-tongue-4.png;;8/5/18;1/24/28;B;22 69;366545;JM1NC2LF0E0131767;BMW;5-Series, M5;1998;1585;228;3;full drive
20;Robert_Castro;Isaiah;!5001;}550223;912556;Coventry, RI 02816;;VISA;Janitor;(341 620/5356;scarolan@live.com;020-happy-16.png;;12/9/18;4/19/20;B;34 49;882286;1FTSW2A50AE633032;BMW;5-Series, M5;1993;1493;233;1;front-wheel drive
